iter_1000
2/1206.bmp (0.9999672174453735, '2 CL')
1/1023.bmp (0.5, '1 HR')
1/298.bmp (0.5, '1 HR')
1/180.bmp (0.4999995231628418, '1 HR')
1/1156.bmp (0.49999991059303284, '1 HR')
1/211.bmp (0.4999999403953552, '1 HR')
1/1236.bmp (0.5, '1 HR')
1/975.bmp (0.5, '1 HR')
1/998.bmp (0.4999997019767761, '1 HR')
1/105.bmp (0.5, '1 HR')
1/117.bmp (0.4999999403953552, '1 HR')
1/1072.bmp (0.4999999403953552, '1 HR')
1/755.bmp (0.5, '1 HR')
1/1138.bmp (0.49999961256980896, '1 HR')
1/80.bmp (0.5, '1 HR')
1/1085.bmp (0.5, '1 HR')
1/872.bmp (0.5, '1 HR')
1/367.bmp (0.5, '1 HR')
1/938.bmp (0.4999997615814209, '1 HR')
1/1198.bmp (0.4999999403953552, '1 HR')
1/317.bmp (0.5, '1 HR')
1/430.bmp (0.5, '1 HR')
3/1142.bmp (0.5000002384185791, '3 CR')
3/1226.bmp (0.5000009536743164, '3 CR')
3/749.bmp (0.5000003576278687, '3 CR')
3/124.bmp (0.5000108480453491, '3 CR')
3/343.bmp (0.500023603439331, '3 CR')
3/1200.bmp (0.5000007152557373, '3 CR')
3/1064.bmp (0.5000014305114746, '3 CR')
3/374.bmp (0.5000157952308655, '3 CR')
3/468.bmp (0.5000004768371582, '3 CR')
3/687.bmp (0.4999997019767761, '2 CL')
3/937.bmp (0.5000537633895874, '3 CR')
3/499.bmp (0.5000295639038086, '3 CR')
3/437.bmp (0.49999985098838806, '3 CR')
3/874.bmp (0.5000011920928955, '3 CR')
3/187.bmp (0.5000123977661133, '3 CR')
3/1147.bmp (0.5000004768371582, '3 CR')
3/1205.bmp (0.5000007152557373, '3 CR')
3/456.bmp (0.49999985098838806, '3 CR')
3/562.bmp (0.5000384449958801, '3 CR')
3/406.bmp (0.4999995827674866, '2 CL')
3/968.bmp (0.5000011920928955, '3 CR')
3/781.bmp (0.4999973773956299, '2 CL')
3/906.bmp (0.5000062584877014, '3 CR')
3/1174.bmp (0.5000182390213013, '3 CR')
3/998.bmp (0.5000019073486328, '3 CR')
3/843.bmp (0.500019371509552, '3 CR')
3/593.bmp (0.5000128746032715, '3 CR')
3/931.bmp (0.5000780820846558, '3 CR')
3/93.bmp (0.4998157024383545, '2 CL')
3/156.bmp (0.5000228881835938, '3 CR')
3/137.bmp (0.5000214576721191, '3 CR')
3/656.bmp (0.49999290704727173, '2 CL')
3/56.bmp (0.5000017285346985, '3 CR')
3/1089.bmp (0.5000004768371582, '3 CR')
3/218.bmp (0.500089704990387, '3 CR')
3/1028.bmp (0.5000011920928955, '3 CR')
3/281.bmp (0.5000171065330505, '3 CR')
3/1159.bmp (0.5000006556510925, '3 CR')
3/724.bmp (0.5000002384185791, '3 CR')
3/1010.bmp (0.5000021457672119, '3 CR')
3/624.bmp (0.4999995827674866, '2 CL')
3/62.bmp (0.5000073313713074, '3 CR')
3/1119.bmp (0.5000013709068298, '3 CR')
3/718.bmp (0.4999913275241852, '3 CR')
3/531.bmp (0.5000054836273193, '3 CR')
3/249.bmp (0.5000221729278564, '3 CR')
3/812.bmp (0.4999954104423523, '2 CL')
3/1058.bmp (0.5000019073486328, '3 CR')
3/31.bmp (0.5000079274177551, '3 CR')
3/312.bmp (0.500032901763916, '3 CR')
4/674.bmp (0.7346457242965698, '4 nothing')
4/1004.bmp (0.9999815225601196, '4 nothing')
4/790.bmp (0.5409674048423767, '4 nothing')
4/775.bmp (0.5006518363952637, '4 nothing')
4/699.bmp (0.9999310374259949, '4 nothing')
4/725.bmp (0.9999908208847046, '4 nothing')
4/1045.bmp (0.9932732582092285, '4 nothing')
4/617.bmp (0.5130972862243652, '4 nothing')
4/592.bmp (0.9745607376098633, '4 nothing')
4/663.bmp (0.9999879002571106, '4 nothing')
4/437.bmp (0.9999921917915344, '4 nothing')
4/110.bmp (0.9679508209228516, '4 nothing')
4/336.bmp (0.9631763696670532, '4 nothing')
4/488.bmp (0.9999839663505554, '4 nothing')
4/341.bmp (0.9701722860336304, '4 nothing')
4/902.bmp (0.9989498257637024, '4 nothing')
4/800.bmp (0.9953374862670898, '4 nothing')
4/841.bmp (0.9998067617416382, '4 nothing')
4/927.bmp (0.5532112121582031, '4 nothing')
4/1030.bmp (0.8464951515197754, '4 nothing')
4/968.bmp (0.9545369148254395, '4 nothing')
4/825.bmp (0.9777121543884277, '4 nothing')
4/1020.bmp (0.9920139312744141, '4 nothing')
4/994.bmp (0.9998289942741394, '4 nothing')
4/273.bmp (0.9999793767929077, '4 nothing')
4/565.bmp (0.5001946091651917, '4 nothing')
4/876.bmp (0.5041932463645935, '4 nothing')
4/18.bmp (0.9993826150894165, '4 nothing')
4/508.bmp (0.500370979309082, '4 nothing')
4/815.bmp (0.5106086730957031, '4 nothing')
4/137.bmp (0.8309086561203003, '4 nothing')
4/412.bmp (0.916050136089325, '4 nothing')
4/917.bmp (0.9850624203681946, '4 nothing')
4/643.bmp (0.5989131927490234, '4 nothing')
4/953.bmp (0.611092746257782, '4 nothing')
4/246.bmp (0.999981701374054, '4 nothing')
4/750.bmp (0.9989042282104492, '4 nothing')
4/765.bmp (0.5240809917449951, '4 nothing')
4/1056.bmp (0.992318332195282, '4 nothing')
4/942.bmp (0.9998971223831177, '4 nothing')
4/534.bmp (0.9793232679367065, '4 nothing')
4/193.bmp (0.540393054485321, '4 nothing')
4/80.bmp (0.5706355571746826, '4 nothing')
4/519.bmp (0.9999866485595703, '4 nothing')
4/219.bmp (0.9346266984939575, '4 nothing')
4/544.bmp (0.9998903274536133, '4 nothing')
4/392.bmp (0.9999891519546509, '4 nothing')
4/979.bmp (0.5017710328102112, '4 nothing')
4/462.bmp (0.5005269646644592, '4 nothing')
4/164.bmp (0.7098002433776855, '4 nothing')

iter_2000
2/1206.bmp (0.999992847442627, '2 CL')
2/1249.bmp (0.999997615814209, '2 CL')
2/1309.bmp (0.9999808073043823, '2 CL')
2/202.bmp (0.999994158744812, '2 CL')
2/669.bmp (0.9999992251396179, '2 CL')
2/373.bmp (0.9999955296516418, '2 CL')
2/386.bmp (0.9999998211860657, '2 CL')
2/937.bmp (0.999994158744812, '2 CL')
2/737.bmp (0.9999974370002747, '2 CL')
2/238.bmp (0.9999297857284546, '2 CL')
2/824.bmp (0.9999992251396179, '2 CL')
2/36.bmp (0.9999985694885254, '2 CL')
2/528.bmp (0.9999995231628418, '2 CL')
2/67.bmp (0.9999985694885254, '2 CL')
2/1143.bmp (0.9999998211860657, '2 CL')
2/1081.bmp (0.9999985694885254, '2 CL')
2/768.bmp (0.9999990463256836, '2 CL')
2/1106.bmp (0.9999991655349731, '2 CL')
2/472.bmp (0.9999993443489075, '2 CL')
2/1112.bmp (0.9999973177909851, '2 CL')
2/602.bmp (0.9999990463256836, '2 CL')
2/42.bmp (0.9999983906745911, '2 CL')
2/1049.bmp (0.9999998211860657, '2 CL')
2/987.bmp (1.0, '2 CL')
2/1018.bmp (1.0, '2 CL')
2/1174.bmp (1.0, '2 CL')
2/404.bmp (0.9999957084655762, '2 CL')
2/571.bmp (0.9999988675117493, '2 CL')
2/1162.bmp (0.9999995231628418, '2 CL')
2/862.bmp (0.9999968409538269, '2 CL')
2/503.bmp (1.0, '2 CL')
2/1268.bmp (0.9999997019767761, '2 CL')
2/226.bmp (0.9999985694885254, '2 CL')
2/441.bmp (0.9999994039535522, '2 CL')
2/1237.bmp (0.9999987483024597, '2 CL')
2/171.bmp (0.9999990463256836, '2 CL')
2/701.bmp (0.9999980926513672, '2 CL')
2/534.bmp (0.9999995231628418, '2 CL')
2/638.bmp (0.9999988675117493, '2 CL')
2/893.bmp (0.9999678730964661, '2 CL')
2/651.bmp (0.9999985694885254, '2 CL')
2/103.bmp (0.9999954104423523, '2 CL')
2/269.bmp (0.9999990463256836, '2 CL')
2/799.bmp (0.9999985694885254, '2 CL')
2/956.bmp (1.0, '2 CL')
2/134.bmp (0.9999992251396179, '2 CL')
2/924.bmp (0.9999985694885254, '2 CL')
2/337.bmp (1.0, '2 CL')
2/306.bmp (0.9999980926513672, '2 CL')
2/831.bmp (0.9999997019767761, '2 CL')
0/790.bmp (0.49999943375587463, '2 CL')
0/66.bmp (0.5000001788139343, '2 CL')
0/1232.bmp (0.500003457069397, '2 CL')
0/97.bmp (0.4999997615814209, '2 CL')
0/1170.bmp (0.5000126957893372, '2 CL')
0/347.bmp (0.4999999403953552, '0 HL')
0/253.bmp (0.499999463558197, '0 HL')
0/1045.bmp (0.5000001192092896, '2 CL')
0/28.bmp (0.4999997615814209, '0 HL')
0/122.bmp (0.5000013113021851, '2 CL')
0/846.bmp (0.5000003576278687, '2 CL')
0/160.bmp (0.49999985098838806, '0 HL')
0/946.bmp (0.4998387396335602, '0 HL')
0/446.bmp (0.4999999403953552, '0 HL')
0/128.bmp (0.5000027418136597, '2 CL')
0/940.bmp (0.49980348348617554, '0 HL')
0/378.bmp (0.49999991059303284, '0 HL')
0/852.bmp (0.5000001192092896, '2 CL')
0/1201.bmp (0.5000056028366089, '2 CL')
0/596.bmp (0.4999997615814209, '0 HL')
0/222.bmp (0.5003492832183838, '2 CL')
0/602.bmp (0.49999865889549255, '0 HL')
0/633.bmp (0.49999991059303284, '0 HL')
0/627.bmp (0.4999995231628418, '0 HL')
0/1107.bmp (0.5000000596046448, '2 CL')
0/477.bmp (0.4999997615814209, '0 HL')
0/403.bmp (0.4999998211860657, '0 HL')
0/316.bmp (0.5, '0 HL')
0/1076.bmp (0.5, '0 HL')
0/435.bmp (0.500000536441803, '2 CL')
0/571.bmp (0.4999980032444, '0 HL')
0/508.bmp (0.4999978542327881, '0 HL')
0/915.bmp (0.49999794363975525, '2 CL')
0/1013.bmp (0.4999999403953552, '0 HL')
0/752.bmp (0.49999991059303284, '0 HL')
0/883.bmp (0.5000097751617432, '2 CL')
0/665.bmp (0.49999991059303284, '0 HL')
0/696.bmp (0.4999999403953552, '0 HL')
0/727.bmp (0.4999998211860657, '0 HL')
0/1038.bmp (0.5000001192092896, '2 CL')
0/1138.bmp (0.5000081658363342, '2 CL')
0/35.bmp (0.49999862909317017, '0 HL')
0/410.bmp (0.4999998211860657, '0 HL')
0/191.bmp (0.4999999403953552, '0 HL')
0/247.bmp (0.49999934434890747, '0 HL')
0/540.bmp (0.4999989867210388, '2 CL')
0/285.bmp (0.4999999403953552, '0 HL')
0/758.bmp (0.4999999403953552, '0 HL')
0/153.bmp (0.49992576241493225, '2 CL')
0/1257.bmp (0.5000036954879761, '2 CL')
1/636.bmp (0.5, '1 HR')
1/926.bmp (0.49999943375587463, '1 HR')
1/1108.bmp (0.4999999403953552, '1 HR')
1/586.bmp (0.5, '1 HR')
1/467.bmp (0.5, '1 HR')
1/248.bmp (0.4999998211860657, '1 HR')
1/1242.bmp (0.5, '1 HR')
1/698.bmp (0.4999992251396179, '1 HR')
1/530.bmp (0.5, '1 HR')
1/142.bmp (0.4999999403953552, '1 HR')
1/11.bmp (0.5, '1 HR')
1/442.bmp (0.5, '1 HR')
1/890.bmp (0.5, '1 HR')
1/167.bmp (0.4999999403953552, '1 HR')
1/920.bmp (0.49999961256980896, '1 HR')
1/223.bmp (0.5, '1 HR')
1/1318.bmp (0.5, '1 HR')
1/55.bmp (0.4999995231628418, '2 CL')
1/847.bmp (0.5, '1 HR')
1/67.bmp (0.5, '1 HR')
1/805.bmp (0.5, '1 HR')
1/1283.bmp (0.5, '1 HR')
1/155.bmp (0.49999991059303284, '1 HR')
1/536.bmp (0.5, '1 HR')
1/748.bmp (0.5, '1 HR')
1/380.bmp (0.49999991059303284, '1 HR')
1/686.bmp (0.4999999403953552, '1 HR')
1/623.bmp (0.5, '1 HR')
1/273.bmp (0.5, '1 HR')
1/1023.bmp (0.5, '1 HR')
1/298.bmp (0.5, '1 HR')
1/180.bmp (0.4999998211860657, '1 HR')
1/1156.bmp (0.49999991059303284, '1 HR')
1/211.bmp (0.4999999403953552, '1 HR')
1/1236.bmp (0.5, '1 HR')
1/975.bmp (0.5, '1 HR')
1/998.bmp (0.4999997615814209, '1 HR')
1/105.bmp (0.5, '1 HR')
1/117.bmp (0.5, '1 HR')
1/1072.bmp (0.5, '1 HR')
1/755.bmp (0.5, '1 HR')
1/1138.bmp (0.4999997615814209, '1 HR')
1/80.bmp (0.5, '1 HR')
1/1085.bmp (0.5, '1 HR')
1/872.bmp (0.5, '1 HR')
1/367.bmp (0.5, '1 HR')
1/938.bmp (0.49999934434890747, '1 HR')
1/1198.bmp (0.49999991059303284, '1 HR')
1/317.bmp (0.5, '1 HR')
1/430.bmp (0.5, '1 HR')
3/1142.bmp (0.5, '3 CR')
3/1226.bmp (0.5, '3 CR')
3/749.bmp (0.5, '3 CR')
3/124.bmp (0.5000030994415283, '3 CR')
3/343.bmp (0.5000029802322388, '3 CR')
3/1200.bmp (0.5, '3 CR')
3/1064.bmp (0.5, '3 CR')
3/374.bmp (0.5000020265579224, '3 CR')
3/468.bmp (0.5, '2 CL')
3/687.bmp (0.5, '2 CL')
3/937.bmp (0.4999997019767761, '3 CR')
3/499.bmp (0.5000014305114746, '3 CR')
3/437.bmp (0.5, '2 CL')
3/874.bmp (0.5, '3 CR')
3/187.bmp (0.5000021457672119, '3 CR')
3/1147.bmp (0.5, '3 CR')
3/1205.bmp (0.5, '3 CR')
3/456.bmp (0.5, '2 CL')
3/562.bmp (0.5000020265579224, '3 CR')
3/406.bmp (0.5, '2 CL')
3/968.bmp (0.5, '3 CR')
3/781.bmp (0.4999997019767761, '3 CR')
3/906.bmp (0.5000004172325134, '3 CR')
3/1174.bmp (0.5000006556510925, '3 CR')
3/998.bmp (0.5, '3 CR')
3/843.bmp (0.500003457069397, '3 CR')
3/593.bmp (0.5000004768371582, '3 CR')
3/931.bmp (0.5000084042549133, '3 CR')
3/93.bmp (0.4998926520347595, '2 CL')
3/156.bmp (0.5000030994415283, '3 CR')
3/137.bmp (0.500002384185791, '3 CR')
3/656.bmp (0.4999999403953552, '3 CR')
3/56.bmp (0.5000002384185791, '3 CR')
3/1089.bmp (0.5, '2 CL')
3/218.bmp (0.5000200271606445, '3 CR')
3/1028.bmp (0.5, '3 CR')
3/281.bmp (0.5000019073486328, '3 CR')
3/1159.bmp (0.5, '3 CR')
3/724.bmp (0.5, '3 CR')
3/1010.bmp (0.5000002384185791, '3 CR')
3/624.bmp (0.5, '2 CL')
3/62.bmp (0.5000014305114746, '3 CR')
3/1119.bmp (0.5, '3 CR')
3/718.bmp (0.5000002980232239, '3 CR')
3/531.bmp (0.5, '3 CR')
3/249.bmp (0.5000026226043701, '3 CR')
3/812.bmp (0.499997615814209, '3 CR')
3/1058.bmp (0.5, '3 CR')
3/31.bmp (0.5000016093254089, '3 CR')
3/312.bmp (0.5000028610229492, '3 CR')
4/674.bmp (0.5431849956512451, '4 nothing')
4/1004.bmp (0.9999772906303406, '4 nothing')
4/790.bmp (0.5090920329093933, '4 nothing')
4/775.bmp (0.5003045201301575, '4 nothing')
4/699.bmp (0.9999216794967651, '4 nothing')
4/725.bmp (0.9999924898147583, '4 nothing')
4/1045.bmp (0.9903063774108887, '4 nothing')
4/617.bmp (0.5026428699493408, '4 nothing')
4/592.bmp (0.9208254814147949, '4 nothing')
4/663.bmp (0.9999922513961792, '4 nothing')
4/437.bmp (0.9999936819076538, '4 nothing')
4/110.bmp (0.9467875361442566, '4 nothing')
4/336.bmp (0.9072429537773132, '4 nothing')
4/488.bmp (0.9999836683273315, '4 nothing')
4/341.bmp (0.9349800944328308, '4 nothing')
4/902.bmp (0.9930421113967896, '4 nothing')
4/800.bmp (0.9944002032279968, '4 nothing')
4/841.bmp (0.999499499797821, '4 nothing')
4/927.bmp (0.511469841003418, '4 nothing')
4/1030.bmp (0.732262372970581, '4 nothing')
4/968.bmp (0.9283487200737, '4 nothing')
4/825.bmp (0.965275764465332, '4 nothing')
4/1020.bmp (0.9394151568412781, '4 nothing')
4/994.bmp (0.9998025894165039, '4 nothing')
4/273.bmp (0.9999836087226868, '4 nothing')
4/565.bmp (0.5000436902046204, '4 nothing')
4/876.bmp (0.5009152889251709, '4 nothing')
4/18.bmp (0.9988856315612793, '4 nothing')
4/508.bmp (0.5000938773155212, '4 nothing')
4/815.bmp (0.5021908283233643, '4 nothing')
4/137.bmp (0.5889652967453003, '4 nothing')
4/412.bmp (0.7854688167572021, '4 nothing')
4/917.bmp (0.8875463604927063, '4 nothing')
4/643.bmp (0.5428812503814697, '4 nothing')
4/953.bmp (0.5191805362701416, '4 nothing')
4/246.bmp (0.9999805688858032, '4 nothing')
4/750.bmp (0.9987314343452454, '4 nothing')
4/765.bmp (0.5049259662628174, '4 nothing')
4/1056.bmp (0.9894410967826843, '4 nothing')
4/942.bmp (0.999883770942688, '4 nothing')
4/534.bmp (0.9659892916679382, '4 nothing')
4/193.bmp (0.5059595108032227, '4 nothing')
4/80.bmp (0.5152921676635742, '4 nothing')
4/519.bmp (0.9999889135360718, '4 nothing')
4/219.bmp (0.739066481590271, '4 nothing')
4/544.bmp (0.9998611211776733, '4 nothing')
4/392.bmp (0.999992847442627, '4 nothing')
4/979.bmp (0.5008495450019836, '4 nothing')
4/462.bmp (0.5001499652862549, '4 nothing')
4/164.bmp (0.6811522841453552, '4 nothing')

iter_3000
2/1206.bmp (0.9996466636657715, '2 CL')
2/1249.bmp (0.9999260902404785, '2 CL')
2/1309.bmp (0.9995419383049011, '2 CL')
2/202.bmp (0.9998461008071899, '2 CL')
2/669.bmp (0.9999547004699707, '2 CL')
2/373.bmp (0.9999378323554993, '2 CL')
2/386.bmp (0.999992847442627, '2 CL')
2/937.bmp (0.9998341798782349, '2 CL')
2/737.bmp (0.9999136924743652, '2 CL')
2/238.bmp (0.998373806476593, '2 CL')
2/824.bmp (0.9999521374702454, '2 CL')
2/36.bmp (0.9998475909233093, '2 CL')
2/528.bmp (0.9999799728393555, '2 CL')
2/67.bmp (0.9998726844787598, '2 CL')
2/1143.bmp (0.9999910593032837, '2 CL')
2/1081.bmp (0.9999755024909973, '2 CL')
2/768.bmp (0.9999549984931946, '2 CL')
2/1106.bmp (0.9999819993972778, '2 CL')
2/472.bmp (0.9999769330024719, '2 CL')
2/1112.bmp (0.999955952167511, '2 CL')
2/602.bmp (0.9999485015869141, '2 CL')
2/42.bmp (0.999843418598175, '2 CL')
2/1049.bmp (0.9999955892562866, '2 CL')
2/987.bmp (0.9999990463256836, '2 CL')
2/1018.bmp (0.9999990463256836, '2 CL')
2/1174.bmp (0.9999977350234985, '2 CL')
2/404.bmp (0.9998739361763, '2 CL')
2/571.bmp (0.9999435544013977, '2 CL')
2/1162.bmp (0.9999949336051941, '2 CL')
2/862.bmp (0.9999198913574219, '2 CL')
2/503.bmp (0.9999947547912598, '2 CL')
2/1268.bmp (0.9999721646308899, '2 CL')
2/226.bmp (0.9998920559883118, '2 CL')
2/441.bmp (0.9999812245368958, '2 CL')
2/1237.bmp (0.9999475479125977, '2 CL')
2/171.bmp (0.9999305605888367, '2 CL')
2/701.bmp (0.9998788833618164, '2 CL')
2/534.bmp (0.9999783635139465, '2 CL')
2/638.bmp (0.9999747276306152, '2 CL')
2/893.bmp (0.9996235966682434, '2 CL')
2/651.bmp (0.9999549984931946, '2 CL')
2/103.bmp (0.9997310638427734, '2 CL')
2/269.bmp (0.9999402165412903, '2 CL')
2/799.bmp (0.9999354481697083, '2 CL')
2/956.bmp (0.9999982714653015, '2 CL')
2/134.bmp (0.9999632835388184, '2 CL')
2/924.bmp (0.999951958656311, '2 CL')
2/337.bmp (0.9999971389770508, '2 CL')
2/306.bmp (0.9999574422836304, '2 CL')
2/831.bmp (0.9999728202819824, '2 CL')
0/790.bmp (0.5000004172325134, '0 HL')
0/66.bmp (0.500011682510376, '0 HL')
0/1232.bmp (0.5000094771385193, '0 HL')
0/97.bmp (0.5000090599060059, '0 HL')
0/1170.bmp (0.5000043511390686, '0 HL')
0/347.bmp (0.5000014305114746, '0 HL')
0/253.bmp (0.5000369548797607, '0 HL')
0/1045.bmp (0.5, '0 HL')
0/28.bmp (0.5000154972076416, '0 HL')
0/122.bmp (0.5000002384185791, '0 HL')
0/846.bmp (0.5, '0 HL')
0/160.bmp (0.5001118183135986, '0 HL')
0/946.bmp (0.4999992251396179, '0 HL')
0/446.bmp (0.5000033378601074, '0 HL')
0/128.bmp (0.5, '0 HL')
0/940.bmp (0.49999910593032837, '0 HL')
0/378.bmp (0.5000038146972656, '0 HL')
0/852.bmp (0.5, '0 HL')
0/1201.bmp (0.5000008344650269, '0 HL')
0/596.bmp (0.5, '0 HL')
0/222.bmp (0.5, '0 HL')
0/602.bmp (0.5, '0 HL')
0/633.bmp (0.5, '0 HL')
0/627.bmp (0.5, '0 HL')
0/1107.bmp (0.5, '0 HL')
0/477.bmp (0.5000038146972656, '0 HL')
0/403.bmp (0.5000033378601074, '0 HL')
0/316.bmp (0.5000004768371582, '0 HL')
0/1076.bmp (0.5, '0 HL')
0/435.bmp (0.500002384185791, '0 HL')
0/571.bmp (0.4999999403953552, '0 HL')
0/508.bmp (0.4999999403953552, '0 HL')
0/915.bmp (0.4999999403953552, '0 HL')
0/1013.bmp (0.5, '0 HL')
0/752.bmp (0.5000054836273193, '0 HL')
0/883.bmp (0.49999991059303284, '0 HL')
0/665.bmp (0.5000050067901611, '0 HL')
0/696.bmp (0.500004768371582, '0 HL')
0/727.bmp (0.5000014305114746, '0 HL')
0/1038.bmp (0.5, '0 HL')
0/1138.bmp (0.5000060796737671, '0 HL')
0/35.bmp (0.5000143051147461, '0 HL')
0/410.bmp (0.5000057220458984, '0 HL')
0/191.bmp (0.500112771987915, '0 HL')
0/247.bmp (0.5001487731933594, '0 HL')
0/540.bmp (0.4999999403953552, '0 HL')
